identify	message	emotion	category
2018-Es-02157	Me: Only deep and meaningful lyrics get to me Factoria: hay otro en mi vida que curó mis heridas me devolvió la alegría que daba por pérdida	alegria	NONE
2018-Es-01131	@secretgxrden @rcalafell Gracias! 	alegria	NONE
2018-Es-00365	Hermoso dia! Hermosa visita.  Por arrancar la rutina. #felicidad pura... 😀😀😀😀	alegria	NONE
2018-Es-05774	@beckam102 @AdrianaRico25 Lo mismo para el chico #10 	alegria	NONE
2018-Es-04738	@TeguaTitulado Usted es el odontologo? No sabia que había cambiado el nickname!  	alegria	NONE
2018-Es-01427	@JeslinMorales7 Yo por eso salgo con el cell con media carga, asi si me mamo se descarga. Hay que ir un paso adelante siempre. 	alegria	NONE
2018-Es-04222	@paulaquimor Mi felicidad va en aumento	alegria	NONE
2018-Es-00564	@NaNoCordoba_PG Poco a poco,  😊	alegria	NONE
2018-Es-01037	@brozoxmiswebs Complacencia, negligencia o conveniencia	alegria	NONE
2018-Es-04085	A enrredarme a mi, a mi? Yo que invente el hilo 	alegria	NONE
2018-Es-01193	Nada mas chistoso que hablar con alguien que cree ser interesante y ademas se sobreactúa.	alegria	NONE
2018-Es-04850	Ni cuenta la otra 	alegria	NONE
2018-Es-05377	@KidGuilty @cathy Jajajajaja ctm la #pipeton 	alegria	NONE
2018-Es-02649	@dania_gamboaC Jaja el sábado trabajo todo el día 	alegria	NONE
2018-Es-03963	Chicos el meme del dia del amigo con icardi y maxi dejo de ser gracioso en el 2014. SOLTAR	alegria	NONE
2018-Es-00359	La vi muy abrigada 	alegria	NONE
2018-Es-05417	Buen dia, que sea un magnifico inicio de semana lleno de éxitos y bendiciones. #SiempreAdelante #GanemoTodos #Entusiasmo #Alegria  #Dios #Fé	alegria	NONE
2018-Es-01188	Estaba bien emocionada por mañana porque iba a ver a mi novio chiquito bebé y resulta que a la mera hora no porque puta vida. 😢💔	alegria	NONE
2018-Es-04121	Que traidora me salió Celeste 	alegria	NONE
2018-Es-00645	@___amsyar55 Describe plis 	alegria	NONE
2018-Es-01090	Hoy le he dicho a un chico que estudiaba el pir y sabía lo que era. #Felicidad #LuegoDicenQueSiMeEnamoro	alegria	NONE
2018-Es-00932	@AmyRed18 Gracias, igualmente bien inicio de semana 	alegria	NONE
2018-Es-03543	Yo no me enojo, las personas q no suman se sacan del medio y listolis!!!!   La vida es tan corta, q no vale perder el tiempo!   #Feliz	alegria	NONE
2018-Es-05199	Toda tv local tiene su Pedrito Sola 	alegria	NONE
2018-Es-03534	Cada cosa que le digo se me caga de risa 😑	alegria	NONE
2018-Es-06260	@facudelacoope10 ta bien ta bien 	alegria	NONE
2018-Es-02742	@eliasintwiter Suerte y disfruta!!! 	alegria	NONE
2018-Es-03662	Eres la mujer que se la vive haciendome sonreír	alegria	NONE
2018-Es-06388	Menosmal y en clara no anda nunca nadie. Jajaja 	alegria	NONE
2018-Es-02425	@PenaPenardz Claro que no está súper chistoso 😂	alegria	NONE
2018-Es-02439	Taquitos de queso (del de Tampico) para el alma de un tampiqueño lejos de su terruño 	alegria	NONE
2018-Es-05276	La cámara del Samsung se conoce 	alegria	NONE
2018-Es-02144	kadillac juega super pussy	alegria	NONE
2018-Es-06831	Bienestar perenne @Genrus y "Que tus ojalás nunca se conviertan en etcéteras."	alegria	NONE
2018-Es-00636	@leoabm_ Contándonos, porque ajá 	alegria	NONE
2018-Es-02485	J. Pelea cada mañana con tus miedos y fantasmas. Tus armas: la sonrisa, el silencio, la determinación, la palabra de Jesús, el diálogo...	alegria	NONE
2018-Es-05021	Ayyyy ando de un drama musical 	alegria	NONE
2018-Es-03351	@J_manuel56 Yo digo que si ... somos abogados en proceso de formación 	alegria	NONE
2018-Es-01861	#Feliz#día#del#amigo#@	alegria	NONE
2018-Es-06478	creo que hoy rompí el récord de ataques de risa.💜	alegria	NONE
2018-Es-02024	Detrás de una sonrisa se esconden  tú felicidad o tú tristeza, en un abrazo tú seguridad y en tu sangre tú pasión.	alegria	NONE
2018-Es-00132	Tengo la suerte de tener amigos de oro y por eso lo voy a festejar	alegria	NONE
2018-Es-03736	Estamos pensando en que le puedo mandar y salte con él le digo SABIAS QUE AUMENTARON EL PAN 	alegria	NONE
2018-Es-06672	@MishaelMejia ¿O ni twitter sabes utilizar? Clasista, ignorante y además bueno para nada con la tecnología 	alegria	NONE
2018-Es-04888	Vos tenes que estar solter 	alegria	NONE
2018-Es-06149	Y ahora es cuando más me doy cuenta lo afortunada que fuí.	alegria	NONE
2018-Es-06513	@RealGDT bellismo trailer, una vez más sorprendiendonos querido Guillermo, gracias por llenar nuestros corazones de esa agradable oscuridad.	alegria	NONE
2018-Es-01219	#DigimonETC se arregloooo! Tenemos tamers, señores #felicidad	alegria	NONE
2018-Es-02754	@jealeanetdiez brutal, felicidades, no sabes cuan orgulloso estoy de ti!	alegria	NONE
2018-Es-05122	@erickf4lopa No se por que preguntan esas cosas te juro 	alegria	NONE
2018-Es-04612	Tengo más antojos que una embarazada 	alegria	NONE
2018-Es-02371	Soy dichoso 😌😂	alegria	NONE
2018-Es-00905	Quién juega Chess?	alegria	NONE
2018-Es-00864	Por si algún día necesitas a alguien con quien hablar, aquí estoy 	alegria	NONE
2018-Es-04735	@ModernYeezus 💖💖 lo mejor fue el debate de artículos constitucionales con los policías 	alegria	NONE
2018-Es-01348	Acompañenme a vivir esta triste historia 😂	alegria	NONE
2018-Es-03860	@ferdipoca Con todo gusto 😏	alegria	NONE
2018-Es-02581	Weón, tengo el agrado de decir que mi profesora de historia es  una de las docentes pro del colegio más "bacan" de chillan.	alegria	NONE
2018-Es-06464	No me canso de ver los videos 	alegria	NONE
2018-Es-04067	@LorenzoArado Feliz día Loren!👐💕	alegria	NONE
2018-Es-01440	Su, me caes alegriaa culiadaso ,me cago de risa con vos en el curso	alegria	NONE
2018-Es-03484	@mariobautista_ Por esta, y una mil razones más, estoy orgullosa de ser #Bautister	alegria	NONE
2018-Es-02313	Si no hablo en el grupo de familia no uso el wsp 	alegria	NONE
2018-Es-01164	Me da risa q se creyeran lo de v o r	alegria	NONE
2018-Es-01275	Mueran todos. 	alegria	NONE
2018-Es-00053	Estoy preparando un final mientras tomo té de limón al que le agregué más limón y como un Guaymallen de fruta. Ya sé que soy divertidísima	alegria	NONE
2018-Es-04440	@Camila_Cabello estoy muy orgullosa lpm	alegria	NONE
2018-Es-06115	Demasiada tensión. Días definitivos en los que todo se juega.  Que no se pierdan las esperanzas. Hay que seguir luchando siempre.	alegria	NONE
2018-Es-00519	Que afortunada que soy por tener a la gente que tengo en mi vida. Que lindo que lindo que lindo todoooo💞	alegria	NONE
2018-Es-05778	Usted afirma ANC traerá paz y prosperidad. Yo pienso resultará en dictadura, miseria, bloqueo económico, represión, humillación y Migracion.	alegria	NONE
2018-Es-01477	@monsexgee La mesera por que la gefa es conmigo, bendito sea el descuento jajajaja 	alegria	NONE
2018-Es-04903	@RenaCorrea15 También 	alegria	NONE
2018-Es-05786	@dieg0_ps Esa vara era un trío waiting to happen 	alegria	NONE
2018-Es-00611	@monlaferte Gracias por siempre hacerme sonreír incluso sin conocerme, gracias por hacerme saber que siempre estás aquí, conmigo 😢💕💕💕	alegria	NONE
2018-Es-03972	@thekingkapo @danielh76742506 @Iturio12 @canchamural @Chivas @atlasfc Jaja que risa dan cabras	alegria	NONE
2018-Es-02132	@MtzAnaid Nunca en tu vida habías visto tan buenos memes 	alegria	NONE
2018-Es-00555	La estación radial de conversación del GTA 3 sigue siendo chistosa y parodiando nuestra sociedad apropiadamente.	alegria	NONE
2018-Es-02251	Quiero viajar por el mundo. 	alegria	NONE
2018-Es-02964	Van a vomitar cojudeces como "profesionalizar", "efecto social" y "responsabilidad"... gente como Juliana Oxenford, claro. 	alegria	NONE
2018-Es-02610	@Maribolika Encontré una modelo ucraniana con tu foto, te pille poh comadre 	alegria	NONE
2018-Es-06652	@jlruizmlg Es un cambio fuerte porque llevo ya varios años con Linux pero todo es acostumbrarse. Eso o un Mac 	alegria	NONE
2018-Es-03096	Acano de descubrir la opción de "conversación secreta" de messenger, y aunque me parece entretenido me pregunto si todo esto es necesario.	alegria	NONE
2018-Es-02839	Diay por dicha voy pasando Conta, Proba y Álgebra 😂😂😂🤦🏻‍♀️🤷🏻‍♀️	alegria	NONE
2018-Es-02607	Madrugar es de guapas ¿no? Pues espero ser hoy miss universo... @lavecinarubia 	alegria	NONE
2018-Es-02868	@mgalinero Total, aunque es mejor si es el mismo para todos los momentos 	alegria	NONE
2018-Es-04531	@santiagoforero_ ¿Juegas? 	alegria	NONE
2018-Es-03574	Ya lo conocen alegre hasta el tope.. me dan ganas de tomar🎶👻🍻	alegria	NONE
2018-Es-05941	¡Feliz día del amigo!	alegria	NONE
2018-Es-00815	El camino de ma felicidad, es ta verdad.	alegria	NONE
2018-Es-01471	@futpicante Que Suarez no juega para el Barca???? Jajaja	alegria	NONE
2018-Es-03087	Me tengo que levantar temprano y Juan me trajo a un cumple de su compinche. Soy lo mas 😊	alegria	NONE
2018-Es-05913	@SoyFan10 #HailCantera Estoy orgulloso del pescado	alegria	NONE
2018-Es-03394	@KevenYHensy Pero la verdad asta yo estaría orgullosa de tener a un hijo tan inteligente y talentoso	alegria	NONE
2018-Es-01841	Por casualidad mañana es feriado ? 	alegria	NONE
2018-Es-00758	@AbySampallo @FeerSalass Perdón, se me va el pedo 	alegria	NONE
2018-Es-04974	#Felicidad es cuando tu oncologo te dice que los estudios dieron perfectos y que te ve el año que viene	alegria	NONE
2018-Es-03135	@lauracarrranza Tu vas a quedar mal no yo 	alegria	NONE
2018-Es-03559	@brizuela27_cone @v_rgzz Es una satisfacción verte jugar de nuevo. Muy bien cone, con todo !!!	alegria	NONE
2018-Es-02490	El día de mañana estará emocionante.	alegria	NONE
2018-Es-03949	Ya se lo mande, estoy muy contenta ahre	alegria	NONE
2018-Es-04534	@HeyVampi__ Probaré la del micro a ver. 	alegria	NONE
2018-Es-04312	Si te hubiera conocido en 2012.. igual me hubieras encantado bie.	alegria	NONE
2018-Es-02760	@AAlbertoAA No.hay que alegrarse de la muerte ni de tu peor enemigo	alegria	NONE
2018-Es-05290	¡¡FELIZ DÍA DEL AMIGO CHAMOS!! 😴😴	alegria	NONE
2018-Es-01668	@R0ck1t0 Pero, apenas en formación, yo prefiero el término 'estudiantes' 	alegria	NONE
2018-Es-00649	@J_manuel56 Kha?! Ni xq ya cerre cursos y termine la tesis 😢💔 *asesino de ilusiones 	alegria	NONE
2018-Es-03154	@LauriDelfi Sos graciosa no?	alegria	NONE
2018-Es-04697	Mira si me mande cagadas en la vida 😅	alegria	NONE
2018-Es-01642	@MenaPablOficial Jalo🌚 no importa que mañana me tenga que levantar temprano 	alegria	NONE
2018-Es-05089	Que bueno mañana tengo franco devuelta 	alegria	NONE
2018-Es-04532	Nose desde cuando tengo esto no pero coso... Solo me siguen 72 personas q fracaso lo mio no sirvo para estas cosas 	alegria	NONE
2018-Es-00662	Me voy a dormir feliz 💜	alegria	NONE
2018-Es-04824	@YoSoyDeLeon Leonés hasta el alma (todavía hablo cantadito) pero también ya soy de esta ciudad 	alegria	NONE
2018-Es-05279	@BurgosChochy Bueno dale monurdoooo, el que te viene a buscar entra y te despierta?,  hace ese servicio tambien monooo? 	alegria	NONE
2018-Es-03835	@Vane_Twitts Utaa, no pues ya estuvo que no van a festejar 	alegria	NONE
2018-Es-03701	Pa que me das follow si luego se lo vas a quitar 	alegria	NONE
2018-Es-01305	No puede decir bien "vida loca'' es muy chistoso.	alegria	NONE
2018-Es-02016	@AWE0NA0Y00NGI   ESTA TIPA ME DEFINE EN TO' SUS TWEETS. ¿CÓMO LO HACI'? 	alegria	NONE
2018-Es-05002	@_AngieArdila_ Disptame esta 	alegria	NONE
2018-Es-06681	@MariannaADzib @CheloB18 El jueves o viernes 	alegria	NONE
2018-Es-06727	No quiero cerrar estas heridas no quiero curarme de ayer, prefiero llorarte de alegría 🙏🏼🌼✨	alegria	NONE
2018-Es-02416	"Optimista" de @elcaloncho es vida, alegría y amor.	alegria	NONE
2018-Es-04776	menos mal que por el tl no me he topado a ninguna rata hablando pestes de jongin, esto es a lo que llamo felicidad	alegria	NONE
2018-Es-02751	Pensé en el para decirle feliz día y creo q le re mil chupo un huevo	alegria	NONE
2018-Es-06676	Cuando se #pelean tb deben subir fotos, no solo cuando hay #felicidad @LaRadioRedonda @XavierOZevallos @ADE_personal	alegria	NONE
2018-Es-06740	@chiagavertino Por suerte nunca entable una conversación dónde tuviera que decirlo	alegria	NONE
2018-Es-06087	Kris no para de refregarme que hoy sale, q agradable sujeto	alegria	NONE
2018-Es-03781	@L0UISDRUG *se de cuenta de lo idiota que es y tambien de que no es graciosa ni cool siendo racista, una hater mas, no le presten atencion	alegria	NONE
2018-Es-00026	Fa las minitas lo acobardaron con las fotos al de combate, pobre vago! 	alegria	NONE
2018-Es-02042	Con q cara lo miro ahora? 	alegria	NONE
2018-Es-01379	Esta negra mentirosa se hace la graciosa y no le sale	alegria	NONE
2018-Es-04651	Calló piedra sin llover 	alegria	NONE
2018-Es-04565	Es gracioso y lindo que mis amigos me pregunten cómo combinar su ropa 😂	alegria	NONE
2018-Es-01011	Igual le dije a mi abuela "quédate tranquila que lo que menos tengo es un embarazo, puedo tener lo que quieras pero no un embarazo" 	alegria	NONE
2018-Es-06060	@Aldana56789 Aaah man  no sea pue asi prima 	alegria	NONE
2018-Es-05358	Su sonrisa es igual de linda que el	alegria	NONE
2018-Es-04757	Puedo decir qué son Vacaciones casi casi hasta qué me digan cuándo. 😅	alegria	NONE
2018-Es-06135	@alondraheravil @miranda_patino eres toda una doña 	alegria	NONE
2018-Es-05381	Hace años no disfrutaba de un partido de fútbol en la cancha, ahora todos transmiten en vivo la jugada había sido 😅	alegria	NONE
2018-Es-02924	10 el que juega poqui! Te quiero broda	alegria	NONE
2018-Es-06233	@FernyGraciano Ferny muy buenas noches, espero que hayas tenido un buen día, descansa y cuidate mucho 	alegria	NONE
2018-Es-06266	Porque mierda soy tan orgullosa loco por que por que POR QUEE	alegria	NONE
2018-Es-04942	@polloxhs Era como cuando retan al hermano chico y está como "y como no le decí eso a mi hermano!!!1!1!" culiao insoportablemente hueón 	alegria	NONE
2018-Es-00287	#EsDeMalGustoQue las 🍻🍺 esten quemadad porque les pierdes el gusto	alegria	NONE
2018-Es-03274	@justinbieber será que tu puedes darme la felicidad de seguirme alguna vez en tu vida	alegria	NONE
2018-Es-04151	@RafaelCrack0911 Lo aceptó 	alegria	NONE
2018-Es-05441	SM: risa radiante. Quiero tu sonrisa y tus uñas. Linda por donde te miren ♥	alegria	NONE
2018-Es-04216	Me encanta más que nadie en este mundo, soy muy afortunada de tenerlo a mi lado.❣️😩	alegria	NONE
2018-Es-01848	los amo mucho son muy talentosos bailan super bien (su sincronización is no joke) cantan como los dioses son hermosos rapean genial	alegria	NONE
2018-Es-04650	Me está comenzando a gustar @BTS_twt !! Suenan tan genial	alegria	NONE
2018-Es-01204	Gasta dinero es un gusto; no es un dinero perdido	alegria	NONE
2018-Es-00078	@vanedesantiago Aparte en invierno siento como que no disfrutas por frío intenso ☹️y en otoño está lindo y agradable	alegria	NONE
2018-Es-06046	#DeColombiaMeGusta la alegría de la gente❤	alegria	NONE
2018-Es-00541	@lozan13 mucha suerte y los 9 reseñados o mas que lidiais los mas serios y no tengais bajas suerte	alegria	NONE
2018-Es-00117	@delsimonee "PANCHOOO" "sos diosisima" "Me deprimis" "Me caes re bien" "muy loca "  " Re divertida"	alegria	NONE
2018-Es-04130	@Camila_Cabello @BrunoMars Alegre por ti bebe cami	alegria	NONE
2018-Es-03245	@davitinho_ Gracias hermano 	alegria	NONE
2018-Es-05266	Gracias @BBVAContinental por hacer la pre venta de entradas para el Perú vs Colombia. 	alegria	NONE
2018-Es-00978	@DelosCobos22 excelente profe gracias por sus buenas vivras siempre lo recordamos con agrado por que nos dio buenos triunfos a la  aficion.	alegria	NONE
2018-Es-00510	Felicidad es: enjambarte una dosis de waffles antes de dormir 🐽🐽🐽	alegria	NONE
2018-Es-04020	@michi_alison Tienen que ser números escritos o pueden ser 1,2,3... ? 😅	alegria	NONE
2018-Es-05516	@cristobalncs @CamiloIgnaciov Me encanta porque la abuela ni se movió para agarrarla 	alegria	NONE
2018-Es-00234	Y luego todavia despertar y ver que me guardaron una hamburguesa para cenar! ❤ Esta pequeña parte de mi vida se llama felicidad.	alegria	NONE
2018-Es-04476	@Tatilutteo Igual yo los preferiría a ellos en la gira antes que la susodicha 	alegria	NONE
2018-Es-00154	@Lelecbacity @TuttinMarquez JAJAJAJ que les pasa oigan 	alegria	NONE
2018-Es-05815	Era para ahorrar tiempo uacho 	alegria	NONE
2018-Es-06144	@chicaacocodrilo Porque no me dices que si, y después que no y con esas cervezas no se juega	alegria	NONE
2018-Es-01217	@liliamaranta Hasta q no compre su pasaje, no voy a ilusionarme 😂	alegria	NONE
2018-Es-02321	@Kosmosvfx21 Jajajaja 🤷x500 	alegria	NONE
2018-Es-06531	@Camila_Cabello @BrunoMars ME TIENES ALTERADA EMOCIONADA GRITANDO Y SIN PODER DORMIR 😅	alegria	NONE
2018-Es-00964	@el_Jorda Lo he intentado.... Cómo eso de ser gracioso en tuiter pero no me sale y me frustro. 😅 Pd: diez años? No creo q seas tan viejo.	alegria	NONE
2018-Es-00647	@OscarSe46809331 @MasterChefMx Eso eso eso  ya que la saquen y se valla a su pueblo a llorar 	alegria	NONE
2018-Es-05460	Mas de una vez se me pasó por la cabeza que no se por que yo me iba a morir de esquizofrenia o iba a ir a alcohólicos anonimos. Nunca bien 	alegria	NONE
2018-Es-01669	@babythin Si tan divertido que es hacer dramas, aunque lo manden a uno a la mierda 😔😔 pero que rico  	alegria	NONE
2018-Es-00315	Los videos de el dipy intentando cantar en ingles me causan menos risa que el canal rural	alegria	NONE
2018-Es-04902	voy a intentar hacer matching dices UWU y estás ORGULLOSO	alegria	NONE
2018-Es-04923	@_zxphyr Al menos no me hago el gracioso cuando no lo soy. No lo eres Zép. No lo eres.	alegria	NONE
2018-Es-02755	Con el mame de Peña me he dado cuenta que muchos no saben usar comas. Okay, a mi también me fallan pero no tanto 	alegria	NONE
2018-Es-00883	Pobre mi novio, casi le arranco la mano en el cine 	alegria	NONE
2018-Es-02335	Se viene el calor y nose qué voy a hacer la ropa 	alegria	NONE
2018-Es-01028	¿Se habrá quedado olvidado mi optimismo junto a las otras hojas que arranqué?	alegria	NONE
2018-Es-01044	A VECES POSTA ES TAN BEBÉ TIERNO RIÉNDOSE TAN ALEGREMENTE, LO QUIERO ABRAZAR MUCHO	alegria	NONE
2018-Es-06834	@Daii_Tsubasa21 cuando vos puedas y nosotras tambien osea 1000años 	alegria	NONE
2018-Es-05010	@JonasAGP Cállate jonas nadie te pregunto 	alegria	NONE
2018-Es-05113	Parece piola " la vecina " 😂	alegria	NONE
2018-Es-05153	Se van a topar con mucha mierda con cara de amigo, y a esos hay q meterles un boleo en el orto. A los demás, q son los de verdad, feliz día	alegria	NONE
2018-Es-03978	@SomosRayados Le clavan dos pepinos y uno segurito es a su palo. 	alegria	NONE
2018-Es-00657	@soyflori es re gracioso porque te conocí cuando me pediste los datos SALIENDO DE KRAVI y ahora escuchas slb ahre te quiero	alegria	NONE
2018-Es-03485	Si el Chacon llegó a Magdalena yo le doy la vuelta al mundo 	alegria	NONE
2018-Es-03376	@GASPARlNA Por interno.  Broma 	alegria	NONE
2018-Es-03648	Arroba fans de Bruno Mars traten bien a Camila porque es una bebita y esta emocionada y porque tengo la chancleta en la mano	alegria	NONE
2018-Es-06083	@TodoRating @telefe Y a esa hora no hay nada 	alegria	NONE
2018-Es-04131	Me hizo click la cabeza aunque nadie lo crea 	alegria	NONE
2018-Es-03790	@J_Ghoul22 No se, pregúntale a tus amiguitas 	alegria	NONE
2018-Es-06199	Aléjense de los buenos ciudadanos feligreses del optimismo neoliberal. No necesitan esa clase de negatividad en su vida.	alegria	NONE
2018-Es-04240	Casi me da un paro al ver a mi tío y yo con mi cara de wtff escondiendo mi bebida 	alegria	NONE
2018-Es-06311	@Kabir_Grimm Con gusto revisamos la falla de tu servicio, al tener avances te contactamos.	alegria	NONE
2018-Es-03192	🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴FELIZ DIA DE LA INDEPENDENCIA!!!!! 🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴	alegria	NONE
2018-Es-01135	@javier_ruescas Javi @verogv15 canta muy bien que video tan divertido un book challenge muy gay	alegria	NONE
2018-Es-04250	A esta hora a uno se pone sad, horny, alegre con hambre	alegria	NONE
2018-Es-01707	Con semejante frío 😆	alegria	NONE
2018-Es-02580	@Camila_Cabello @BrunoMars ESTOY TAAAAN EMOCIONADA	alegria	NONE
2018-Es-00653	La verdad que más que satisfecha con las amigas que me tocaron😍😍😍😍 No pido nada más que ellas!! La que no está no hace falta. Gracias Dios💞	alegria	NONE
2018-Es-06203	Tenemos que olvidar un pasado que pesa y pisa. Y sonreír a vidas mejores.	alegria	NONE
2018-Es-02982	Fue alto día y saber que mañana llegan mis abuelos hace que lo termine mejor. Me explota el corazón de felicidad y ganas de verlos❤	alegria	NONE
2018-Es-06095	A mi las cosas se me dan porque siempre creo que se me van a dar, si alguna vez pienso en negativo en el fondo siempre soy optimista 	alegria	NONE
2018-Es-03172	#DeColombiaMeGusta su gente linda, divertida, amigable y echada pa'lante.	alegria	NONE
2018-Es-02188	@kzla_ Buena técnica? 	alegria	NONE
2018-Es-01637	@DebRyanShow Me da mucho gusto por ti y más si es lo que te gusta !!! Éxito !! #Rayito	alegria	NONE
2018-Es-00377	@KevenYHensy Y yo también estoy tan orgullosa de ustedes 😍😩🙈	alegria	NONE
2018-Es-06601	@LaariDalfonso @MelRomano_ Juega a dos puntas...	alegria	NONE
2018-Es-02969	Qué lindo es pensarte 	alegria	NONE
2018-Es-05345	La voy a subir a wsp 	alegria	NONE
2018-Es-00094	@dua_cabello Y claro que tienen fandom y para rato cheeee 	alegria	NONE
2018-Es-02741	Veo el vídeo del juego del yogurt y me tiento de como se reía mi tía 	alegria	NONE
2018-Es-03264	Con vino de ese que pinta la lengua 	alegria	NONE
2018-Es-00494	@Fer17ElViaducto @Ayee_Taverniti Queridoooo, para esa peli se necesita concentración! Jaja. Es genial, me alegro que te haya gustado ajja	alegria	NONE
2018-Es-05478	@EileenWally Gracias! 😊 igual para ti! 💪	alegria	NONE
2018-Es-05911	Pobre el pibe que va ser novio mío en el futuro... Será maltratado verbal y físicamente  	alegria	NONE
2018-Es-01514	Justo cuando mi hermano queria estar conmigo lo corri 	alegria	NONE
2018-Es-02822	@romoyano_26 Tal cual, el tema es que pasó caleta de tiempo dejando plsp enamorados, que hasta le compartian sus claves de Netflix 	alegria	NONE
2018-Es-00463	Me parece que me falta una noviesita durante la semana ahno 	alegria	NONE
2018-Es-01785	@Pabalsesgenial Jajajaja sii  😅	alegria	NONE
2018-Es-00609	Se revoluciona tw con zinos 	alegria	NONE
2018-Es-02632	@QuimiCarol_ Ke buen servicio 	alegria	NONE
2018-Es-04943	Parce yo veo mis fotos y me doy cuenta que soy re feo 	alegria	NONE
2018-Es-03488	@polituitts No que #TvAztecaMiente? 	alegria	NONE
2018-Es-03130	Toda la ropa que me regalaron me quedaron gigantes y la zapatilla me quedó chica. Qué suerte la mía	alegria	NONE
2018-Es-06536	@soydarygro Que no van a regresar 	alegria	NONE
2018-Es-00443	Ver cuanto falso va a haber va a ser muy gracioso, a lo experimento social, pues algo así :p	alegria	NONE
2018-Es-05169	Creo en el amor porque nunca estoy satisfecho...	alegria	NONE
2018-Es-03687	@maferestrada @clauprdzs RT X 100000000 y la conozco desde hace mas años que tu 	alegria	NONE
2018-Es-02470	RumiZzZ Feliz. Mis dos equipos ganaron hoy 💙⚾️👊🏽	alegria	NONE
2018-Es-06590	Un aplauso para esas cuentas que te mandan amor a un que no te conoscan	alegria	NONE
2018-Es-01851	@sofia_gamb Desde aquí lejos de él me imagino LA hablada que se podría echar 	alegria	NONE
2018-Es-00010	@iPxdfoot —la ojiverde esbozó una amplia sonrisa y correspondió el abrazo.— Claro dime en qué puedo ayudarte.	alegria	NONE
2018-Es-02074	@ForoPacheco @andrespalacios1 @PaolaNunez Es unico maravilloso que bromista 😂😂😂😂💋💋❤❤	alegria	NONE
2018-Es-06791	Haber que onda curious cat 	alegria	NONE
2018-Es-05041	Es gracioso lo hipócritas y falsos que se ven saludando a alguien y diciéndole "amigo" 1 día mientras los otros 364 les chupa un huevo	alegria	NONE
2018-Es-05124	@NoticiasCaracol @NairoQuinCo Ánimo Nairo, eres nuestro Héroe, gracias por tanta alegría que nos has brindado, otra será 👏👏👏	alegria	NONE
2018-Es-01860	Personalidad de C + inteligencia de J + Físico de A + Retórica de O = El amor de mi vida. No todo se puede tener en esta vida. 	alegria	NONE
2018-Es-04229	Jajajajajajajaja se te escapó el corazón jajajajaja mimoso 😂	alegria	NONE
2018-Es-06503	No cuidó mis libros menos iba a cuidar mi corazón 💔 	alegria	NONE
2018-Es-01988	¿Por qué soy tan orgulloso? 😅	alegria	NONE
2018-Es-05449	@Fer__Stl Justo el día que se metió con un camión no estaba él. Es genial.	alegria	NONE
2018-Es-05673	Solo uso fb para guardar memes 	alegria	NONE
2018-Es-05518	Cuando tengo tan buen genio siento que algo muy malo va a pasarme. 	alegria	NONE
2018-Es-01610	@passagesoflife Así estaba viendo 	alegria	NONE
2018-Es-00794	Yo tmb puedo bardear igual 	alegria	NONE
2018-Es-01904	@omarcrl Entonces mucho menos el amor de mi vida 	alegria	NONE
2018-Es-02289	Alguien que me de una arepa? El hambre que tengo no juega carro	alegria	NONE
2018-Es-00688	Proximamente contenido nuevo, genial y estupendo manada en #señiorlobo #gamers #youtubers #juegos #otakus #BuenosDias #felizjueves	alegria	NONE
2018-Es-04149	Ya quiero que sea mañana por la tarde para sentir la satisfacción y cariño de estar entre sus brazos	alegria	NONE
2018-Es-04947	Me senti extraño, no podía hacerla sonreír 😔	alegria	NONE
2018-Es-02693	Seguro no. Ramen debe ser agradable y por eso lo escondes.	alegria	NONE
2018-Es-03545	@Sexy__Queens @MexicoVoyeur @fersw82 @nalgometro Wowwww ese color menta se te ve genial	alegria	NONE
2018-Es-02310	@pilypardo Realmente guapa jaja 	alegria	NONE
2018-Es-02704	@xxxeyla Yo he leido ciertas cosas 	alegria	NONE
2018-Es-05221	A que hr pasa el tren del recursado? 😂	alegria	NONE
2018-Es-04750	¿Y si te invito a desayunar unos hot cakes de Frida en Coyoacán? 	alegria	NONE
2018-Es-01324	Creo que me gusta que me ignoren por eso será que cuando me dan bola ya pierdo el interés en esa persona 	alegria	NONE
2018-Es-05553	#MasterChefMx Noemi. Cuantas más Peña???? Ah! No verdad..   	alegria	NONE
2018-Es-02795	@juanbrandolin04 @Micka_Martinez0 @nazaromanosss @mica_paolo14 que agradable sujeto este juan	alegria	NONE
2018-Es-02663	Larga Vida Al Envidioso Para Que Vea To' Lo Que Yo Gozo!🎶 -😏	alegria	NONE
2018-Es-03893	Lo mejor es cuando cuentas algo emocionado y los demás se emocionan contigo	alegria	NONE
2018-Es-05387	Sentir esa sensación de quererte enamorar... 😅	alegria	NONE
